,2024,2025
2024-01-02,-0.028058748011772383,
2024-01-03,0.00980427873665779,
2024-01-04,0.010678618524931516,
2024-01-05,0.04856645545292709,
2024-01-08,0.02884560020560817,
2024-01-09,-0.007379454112270201,
2024-01-10,0.011013455365569857,
2024-01-11,-0.013306408811486425,
2024-01-12,-0.011631501731563465,
2024-01-16,-0.0018767234666112187,
2024-01-17,0.008295369039616085,
2024-01-18,-0.00656719208749168,
2024-01-19,-0.00777351472553045,
2024-01-22,-0.010488633585083784,
2024-01-23,-0.06324654868624408,
2024-01-24,0.011943034780344752,
2024-01-25,0.06415064935833531,
2024-01-26,-0.002561442418341886,
2024-01-29,-0.028907747460209188,
2024-01-30,0.018925570958731208,
2024-01-31,-0.022590523122797135,
2024-02-01,0.0014488298743581263,
2024-02-02,0.04087423948605279,
2024-02-05,0.04121981296075217,
2024-02-06,-0.006884141570798641,
2024-02-07,0.016091170430690416,
2024-02-08,0.009395919666742691,
2024-02-09,0.00851752200435657,
2024-02-12,0.0010696415122332104,
2024-02-13,0.004256165627348207,
2024-02-14,-0.002701019386286696,
2024-02-15,0.010768830347625269,
2024-02-16,0.04337193052001692,
2024-02-20,-0.006252479683537093,
2024-02-21,0.01532649741476716,
2024-02-22,-0.004968924927570451,
2024-02-23,0.0024734517941130685,
2024-02-26,0.029364112693417432,
2024-02-27,0.003913183868515635,
2024-02-28,-0.008687673005517982,
2024-02-29,0.038190484929436275,
2024-03-01,0.0100768321017492,
2024-03-04,-0.023574803640468434,
2024-03-05,0.029676864871499675,
2024-03-06,0.02446975134934881,
2024-03-07,0.01933136934666646,
2024-03-08,0.018553363804739154,
2024-03-11,0.04620132701726898,
2024-03-12,-0.01963005080541419,
2024-03-13,-0.004206724916129945,
2024-03-14,-0.01237847828944888,
2024-03-15,-0.008302388300563734,
2024-03-18,-0.009089776342179723,
2024-03-19,0.0012919582194014234,
2024-03-20,0.0007698787538393814,
2024-03-21,0.0023916321751964453,
2024-03-22,-0.03406189001576365,
2024-03-25,0.006222654029587715,
2024-03-26,-0.04023849281534597,
2024-03-27,0.014238946209974623,
2024-03-28,0.05075205394475396,
2024-04-01,-0.02302996421064002,
2024-04-02,0.003314828589368546,
2024-04-03,0.0028562350555527694,
2024-04-04,-0.04009509691388374,
2024-04-05,0.008899298453452942,
2024-04-08,0.011699911842469601,
2024-04-09,-0.009511743300049447,
2024-04-10,0.031926311842212174,
2024-04-11,-0.025282230817396945,
2024-04-12,-0.011169092391609792,
2024-04-15,0.02288414633493091,
2024-04-16,0.03840727477724737,
2024-04-17,-0.005232161389808421,
2024-04-18,-0.023348176305451274,
2024-04-19,-0.01084653688381837,
2024-04-22,0.002820840295206073,
2024-04-23,-0.028402094389307464,
2024-04-24,-0.007448091060188788,
2024-04-25,0.06850163796135006,
2024-04-26,0.016142758436084037,
2024-04-29,0.016496682184134526,
2024-04-30,0.025626377762440977,
2024-05-01,0.03695485346649402,
2024-05-02,0.0018363786941567595,
2024-05-03,0.005714979413354748,
2024-05-06,-0.08118862985617609,
2024-05-07,-0.00864657276613956,
2024-05-08,-0.022776620278739834,
2024-05-09,0.018234026344495335,
2024-05-10,0.017705194646010614,
2024-05-13,0.007414548538184129,
2024-05-14,0.016396010911030157,
2024-05-15,0.0012964583137515806,
2024-05-16,0.010752268704957879,
2024-05-17,0.03608731397592724,
2024-05-20,-0.01378057396315846,
2024-05-21,0.04339309536575864,
2024-05-22,0.009984920403469488,
2024-05-23,0.013864060914205223,
2024-05-24,0.015165085826364777,
2024-05-28,0.020173468675638517,
2024-05-29,0.008592020841932335,
2024-05-30,0.0037088050122313088,
2024-05-31,-0.00586800942875898,
2024-06-03,-0.014592876761006568,
2024-06-04,-0.047796145332451356,
2024-06-05,-0.015209321863402347,
2024-06-06,0.07149402025893076,
2024-06-07,0.04313176518464201,
2024-06-10,-0.035690031821551504,
2024-06-11,0.0034945159338827247,
2024-06-12,0.07290458355305379,
2024-06-13,-0.0010917819538125428,
2024-06-14,0.0006541277427144498,
2024-06-17,0.030838313921003058,
2024-06-18,0.02706650902322677,
2024-06-20,-0.04196758792624472,
2024-06-21,0.015695695716532565,
2024-06-24,-0.005568116119099242,
2024-06-25,-0.00019117826485542944,
2024-06-26,-0.0088493263374807,
2024-06-27,0.015158755485785325,
2024-06-28,-0.009096956131575129,
2024-07-01,0.04763039307467065,
2024-07-02,0.055485024644835845,
2024-07-03,-0.0042264566278213955,
2024-07-05,0.014526518359852802,
2024-07-08,0.006530410597058001,
2024-07-09,0.011229138224318147,
2024-07-10,0.03047843935055783,
2024-07-11,-0.00482071297507447,
2024-07-12,-0.015576272225424515,
2024-07-15,-0.04017392516908913,
2024-07-16,-0.08689627187590926,
2024-07-17,-0.01840379344964438,
