,2024,2025
2024-01-05,0.016906989319191545,
2024-01-12,-0.07467553576523855,
2024-01-19,0.047962564899923454,
2024-01-26,-0.04242648366427615,
2024-02-02,0.053136704332387374,
2024-02-09,-0.03803463407512908,
2024-02-16,0.04900233904643475,
2024-02-23,-0.10465143824910694,
2024-03-01,0.032654442858934984,
2024-03-08,-0.07203470823799413,
2024-03-15,0.024101090646663936,
2024-03-22,-0.014101210416395338,
2024-03-29,0.042131721113470244,
2024-04-05,0.008412332322144556,
2024-04-12,-0.022897745136300718,
2024-04-19,-0.05784361262571602,
2024-04-26,0.08621826482771633,
2024-05-03,-0.08672242719363443,
2024-05-10,-0.06504154766051029,
2024-05-17,-0.07378143256280667,
2024-05-24,-0.01941233772408668,
2024-05-31,0.03535682095143089,
2024-06-07,0.03150384137024431,
2024-06-14,0.005681976168422087,
2024-06-21,0.020032463425107228,
2024-06-28,0.023237907869800845,
2024-07-05,-0.009720058843007473,
2024-07-12,0.047132749754440095,
2024-07-19,-0.03121941369041381,
2024-07-26,-0.13713116870776976,
2024-08-02,0.1035146933127109,
2024-08-09,-0.08921281415128657,
2024-08-16,0.03940453978860736,
2024-08-23,-0.001346704549986033,
2024-08-30,-0.08378605716271098,
2024-09-06,-0.13198818554022124,
2024-09-13,0.02654402149467816,
2024-09-20,-0.011932894792139381,
2024-09-27,-0.08588361861507338,
2024-10-04,0.029727406787625754,
2024-10-11,0.04681567547682519,
2024-10-18,0.001898052940138506,
2024-10-25,0.19927262000070745,
2024-11-01,0.019655540621385525,
2024-11-08,0.054985772265691124,
2024-11-15,0.009687498846479736,
2024-11-22,-0.022972438658213745,
2024-11-29,-0.08388306170358523,
2024-12-06,0.07910179369300796,
2024-12-13,-0.021924326761052604,
2024-12-20,-0.026263882193359622,
2024-12-27,-0.036438677331874836,
2025-01-03,,0.04715900073298829
2025-01-10,,-0.06462683980208511
2025-01-17,,-0.021558609861880185
2025-01-24,,0.008349356980105527
2025-01-31,,0.16350096187166835
2025-02-07,,-0.06896192219371228
2025-02-14,,0.06679948649138806
2025-02-21,,-0.003803299950331407
2025-02-28,,-0.005195754782504558
2025-03-07,,-0.011411657914515316
2025-03-14,,-0.020363583477646885
2025-03-21,,0.06555971586281806
2025-03-28,,-0.22380932104307144
2025-04-04,,-0.09271689024272517
2025-04-11,,0.019461475918307714
2025-04-18,,0.04174912541498693
2025-04-25,,0.05685296959080244
2025-05-02,,0.04947712177749497
2025-05-09,,0.004631228300807755
2025-05-16,,0.004301588421718905
2025-05-23,,0.03884079975472354
2025-05-30,,-0.05791904511253482
2025-06-06,,0.08165010843858517
2025-06-13,,0.050615517645553776
2025-06-20,,0.042461335267703015
2025-06-27,,-0.036955606681515596
2025-07-04,,0.006798476901779149
2025-07-11,,0.030799269370180016
2025-07-18,,0.032458647580317135
2025-07-25,,0.03461267794192541
2025-08-01,,-0.07257814841220223
2025-08-08,,-0.07929552733649492
2025-08-15,,0.022517089423060355
2025-08-22,,0.02864089485122101
2025-08-29,,0.023198700345713585
2025-09-05,,0.0037920830628411784
2025-09-12,,0.02712533183024496
2025-09-19,,0.000536411145819371
2025-09-26,,0.032848606713986817
2025-10-03,,-0.007099721650214608
2025-10-10,,-0.03907055051359287
2025-10-17,,0.015079996681051144
2025-10-24,,0.010472637946642105
2025-10-31,,0.055082253212141497
2025-11-07,,-0.02211733251292647
2025-11-14,,0.029298233970581955
2025-11-21,,-0.11198249268220639
2025-11-28,,0.04128465553163185
2025-12-05,,0.009021584132796912
2025-12-12,,-0.02199167151808773
2025-12-19,,-0.014295112498444174
2025-12-26,,0.07175478795952639
