date,close,open,high,low,volume,mentions_sum,mentions_mean,mentions_max,mentions_days,trends_interest,days_in_week,ticker,return_1w,momentum_4w,momentum_12w,volatility_12w,volume_ratio_4w,mentions_sum_log,mentions_abnormal_w,mentions_momentum_w,mentions_peak_ratio,trends_log,trends_abnormal_w,trends_mentions_divergence_w,return_fwd_1w,direction_fwd_1w
2022-04-01,174.30999755859375,172.1699981689453,179.61000061035156,171.94000244140625,465395100.0,328,65.6,82,5,11.0,5,AAPL,-0.002346632665091719,0.06827235101218876,0.012429572006781964,0.04012174074483233,0.9615916141055446,5.796057750765372,-0.14074335648182973,0.06493506493506485,1.25,2.4849066497880004,-0.48122237810467494,-0.3404790216228452,-0.024209748607704418,0
2022-04-08,170.08999633789062,174.57000732421875,178.49000549316406,169.1999969482422,393099200.0,369,73.8,128,5,9.0,5,AAPL,-0.024209748607704418,0.09926970228447929,-0.017218529266862292,0.04078514236258074,0.8698320082345444,5.91350300563827,0.06838236491926117,0.125,1.7344173441734418,2.302585092994046,-1.25710152963466,-1.3254838945539211,-0.028220372479886513,0
2022-04-15,165.2899932861328,168.7100067138672,171.27000427246094,165.0399932861328,297460200.0,212,53.0,81,4,8.0,4,AAPL,-0.028220372479886513,0.007988764439111007,0.017732833933155945,0.03723820640516222,0.7427043874484391,5.3612921657094255,-0.7718911239040533,-0.4254742547425474,1.528301886792453,2.1972245773362196,-1.5274235443871391,-0.7555324204830858,-0.02117490557302626,0
2022-04-22,161.7899932861328,163.9199981689453,171.52999877929688,161.5,376787700.0,402,80.4,119,5,10.0,5,AAPL,-0.02117490557302626,-0.07400416577514424,-0.05013801710277943,0.03465254119645403,0.9833035196656033,5.998936561946683,0.8846455605990121,0.8962264150943395,1.480099502487562,2.3978952727983707,-0.6384600294193207,-1.5231055900183328,-0.025588723415833625,0
2022-04-29,157.64999389648438,161.1199951171875,166.1999969482422,155.3800048828125,541697200.0,1233,246.6,618,5,18.0,5,AAPL,-0.025588723415833625,-0.09557686819718514,-0.08550383169181197,0.03479465843831725,1.3466309162525854,7.1180162044653335,2.7082218531127147,2.0671641791044775,2.5060827250608275,2.9444389791664403,2.4504183197450367,-0.25780353336767803,-0.0023469402569749054,0
2022-05-06,157.27999877929688,156.7100067138672,166.47999572753906,153.27000427246094,566928200.0,312,62.4,75,5,13.0,5,AAPL,-0.0023469402569749054,-0.07531305681932154,-0.06736243270556408,0.03449003712383089,1.271942767890461,5.746203190540153,-0.0036374668365646567,-0.7469586374695864,1.2019230769230769,2.6390573296152584,0.705282359547456,0.7089198263840206,-0.06466173860553215,0
2022-05-13,147.11000061035156,154.92999267578125,156.74000549316406,138.8000030517578,686227300.0,635,127.0,213,5,15.0,5,AAPL,-0.06466173860553215,-0.10998846520799321,-0.12068142303117613,0.03853984660039988,1.2639796165147783,6.455198563340122,1.1715490715448693,1.0352564102564101,1.6771653543307086,2.772588722239781,1.2058640796939903,0.03431500814912103,-0.0647135084831959,0
2022-05-20,137.58999633789062,145.5500030517578,149.77000427246094,132.61000061035156,548244700.0,677,135.4,176,5,14.0,5,AAPL,-0.0647135084831959,-0.14957659900166642,-0.16536250382973838,0.04167297415994745,0.9359315579454784,6.519147287940395,1.088848886797822,0.06614173228346454,1.2998522895125553,2.70805020110221,0.7949075147863806,-0.29394137201144155,0.08757906368545632,1
2022-05-27,149.63999938964844,137.7899932861328,149.67999267578125,137.13999938964844,495921700.0,307,61.4,76,5,13.0,5,AAPL,0.08757906368545632,-0.05080872069107367,-0.08291964779755645,0.05102691306081581,0.8634779479532233,5.730099782973574,-0.532222900990918,-0.5465288035450517,1.237785016286645,2.6390573296152584,0.39328400637680877,0.9255069073677267,-0.028468287384466717,0
2022-06-03,145.3800048828125,149.07000732421875,151.74000549316406,144.4600067138672,338923400.0,150,37.5,45,4,9.0,4,AAPL,-0.028468287384466717,-0.07566120287922329,-0.060427784546641994,0.049553156838404507,0.655140577536425,5.017279836814924,-1.6405645720343593,-0.511400651465798,1.2,2.302585092994046,-1.0733667811440193,0.5671977908903401,-0.0567478313585843,0
2022-06-10,137.1300048828125,147.02999877929688,149.8699951171875,137.05999755859375,354267700.0,832,166.4,292,5,10.0,5,AAPL,-0.0567478313585843,-0.06784036221964918,-0.16373942885898818,0.04726746113099555,0.8156472113540247,6.725033642166843,1.2044005365331907,4.546666666666667,1.7548076923076923,2.3978952727983707,-0.5635720628436164,-1.7679725993768072,-0.040618443271979165,0
2022-06-17,131.55999755859375,132.8699951171875,137.33999633789062,129.0399932861328,541168600.0,222,44.4,62,5,12.0,5,AAPL,-0.040618443271979165,-0.04382585173189868,-0.2470238287578217,0.04053377843126117,1.2510533835710191,5.407171771460119,-0.9352591459940527,-0.7331730769230769,1.3963963963963963,2.5649493574615367,0.1612713796198232,1.096530525613876,0.07677110284999289,1
2022-06-24,141.66000366210938,133.4199981689453,141.91000366210938,133.32000732421875,315960300.0,128,32.0,41,4,9.0,4,AAPL,0.07677110284999289,-0.053327958835123423,-0.18730993261306872,0.049561564833020655,0.8152131172919139,4.859812404361672,-1.5029989893532054,-0.42342342342342343,1.28125,2.302585092994046,-0.9170299114796004,0.585969077873605,-0.019271572185186492,0
2022-07-01,138.92999267578125,142.6999969482422,143.49000549316406,133.77000427246094,373549800.0,225,45.0,78,5,9.0,5,AAPL,-0.019271572185186492,-0.0443665703012629,-0.18319715640541712,0.04950797581435934,0.9427443098391214,5.420534999272286,-0.6245827185863158,0.7578125,1.7333333333333334,2.302585092994046,-0.9170299114795984,-0.2924471928932827,0.058374728553234334,1
2022-07-08,147.0399932861328,137.77000427246094,147.5500030517578,136.92999267578125,278219600.0,204,51.0,62,4,7.0,4,AAPL,0.058374728553234334,0.07226710457561136,-0.11041200763077952,0.05364302375677573,0.7375436767342106,5.3230099791384085,-0.7549651974880596,-0.09333333333333338,1.2156862745098038,2.0794415416798357,-1.7182153662365287,-0.9632501687484691,0.02128675888009357,1
2022-07-15,150.1699981689453,145.6699981689453,150.86000061035156,142.1199951171875,366316600.0,563,112.6,180,5,9.0,5,AAPL,0.02128675888009357,0.14145637698163616,-0.07182146980275239,0.054122457573016765,1.0983624781238852,6.335054251498059,0.617582667902348,1.7598039215686274,1.5985790408525755,2.302585092994046,-0.7674177786078374,-1.3850004465101855,0.026103737209447253,1
2022-07-22,154.08999633789062,150.74000549316406,156.27999877929688,146.6999969482422,360988700.0,597,119.4,237,5,11.0,5,AAPL,0.026103737209447253,0.08774525169030456,-0.02258165364047715,0.05437979019931019,1.0470461099750434,6.393590753950631,0.8885685284586732,0.060390763765541644,1.9849246231155777,2.4849066497880004,0.12832416422830326,-0.7602443642303699,0.054643379642127066,1
2022-07-29,162.50999450683594,154.00999450683594,163.6300048828125,150.8000030517578,370548900.0,834,166.8,398,5,16.0,5,AAPL,0.054643379642127066,0.16972578330211952,0.03325277065189991,0.05665066169461143,1.077119264969655,6.727431724850855,1.1914857751689494,0.39698492462311563,2.386091127098321,2.833213344056216,1.5533179412844644,0.36183216611551505,0.01747591959065775,1
2022-08-05,165.35000610351562,161.00999450683594,167.19000244140625,159.6300048828125,322415000.0,265,53.0,77,5,11.0,5,AAPL,0.01747591959065775,0.12452403191934591,0.12398888870564373,0.05237630052219896,0.9080391238506053,5.583496308781699,-0.3783927807608998,-0.6822541966426858,1.4528301886792452,2.4849066497880004,0.16399999934942397,0.5423927801103238,0.04082249622521483,1
2022-08-12,172.10000610351562,166.3699951171875,172.1699981689453,163.25,318771500.0,438,87.6,121,5,11.0,5,AAPL,0.04082249622521483,0.14603454885774503,0.2508177242833558,0.04709510387336158,0.9288727428913064,6.0844994130751715,0.4434213150550627,0.6528301886792454,1.3812785388127855,2.4849066497880004,0.2718617281618488,-0.17155958689321393,-0.0033701441631898144,0
2022-08-19,171.52000427246094,171.52000427246094,176.14999389648438,171.30999755859375,322647200.0,649,129.8,214,5,11.0,5,AAPL,-0.0033701441631898144,0.11311576577852311,0.14621762210676725,0.04227216914508677,0.9671804773233704,6.476972362889683,0.9187140435593812,0.4817351598173516,1.6486902927580893,2.4849066497880004,0.35563680115696433,-0.5630772424024169,-0.046058820886712426,0
2022-08-26,163.6199951171875,169.69000244140625,171.0500030517578,163.55999755859375,307194600.0,306,61.2,77,5,9.0,5,AAPL,-0.046058820886712426,0.0068303528882642794,0.12546422906697408,0.044078915416954446,0.9667592767210612,5.726847747587197,-0.31661076396363674,-0.5285053929121726,1.2581699346405228,2.302585092994046,-0.6250413053856042,-0.30843054142196746,-0.047732537536137265,0
2022-09-02,155.80999755859375,161.14999389648438,162.89999389648438,154.6699981689453,390399000.0,367,73.4,126,5,9.0,5,AAPL,-0.047732537536137265,-0.05769584634275404,0.136221045800623,0.04288389993603894,1.166229765029044,5.908082938168931,0.09641911111829998,0.19934640522875813,1.7166212534059944,2.302585092994046,-0.5731158725255691,-0.6695349836438691,0.010012178827017104,1
2022-09-09,157.3699951171875,156.47000122070312,157.82000732421875,152.67999267578125,314117000.0,447,111.75,206,4,9.0,4,AAPL,0.010012178827017104,-0.08558983418901356,0.19618423561537823,0.039655307517321624,0.9416275005099831,6.104793232414985,0.3519869687908785,0.21798365122615815,1.8434004474272931,2.302585092994046,-0.46808786450224904,-0.8200748332931276,-0.042384179804914046,0
2022-09-16,150.6999969482422,159.58999633789062,164.25999450683594,148.3699951171875,568337900.0,524,104.8,137,5,11.0,5,AAPL,-0.042384179804914046,-0.12138530087222943,0.06381471870984279,0.037865739844594425,1.4387859613170102,6.263398262591624,0.5300112102854322,0.17225950782997757,1.3072519083969465,2.4849066497880004,0.437988870857532,-0.09202233942790017,-0.0017916674049679449,0
2022-09-23,150.42999267578125,149.30999755859375,158.74000549316406,148.55999755859375,473543200.0,589,117.8,174,5,10.0,5,AAPL,-0.0017916674049679449,-0.08061363424414814,0.08277550281628088,0.0371418222496058,1.0846174675851215,6.380122536899765,0.6651757641596501,0.12404580152671763,1.4770797962648556,2.3978952727983707,-0.07833185841558363,-0.7435076225752337,-0.08130024810875403,0
2022-09-30,138.1999969482422,149.66000366210938,154.72000122070312,138.0,577537000.0,1131,226.2,372,5,12.0,5,AAPL,-0.08130024810875403,-0.11302227640257267,-0.06011967316054223,0.04132488134506156,1.194779448275855,7.0317412587631285,1.9192078625811342,0.9202037351443124,1.6445623342175066,2.5649493574615367,0.737008933606053,-1.1821989289750812,0.01367582801290701,1
2022-10-07,140.08999633789062,138.2100067138672,147.5399932861328,137.69000244140625,435940600.0,376,75.2,120,5,10.0,5,AAPL,0.01367582801290701,-0.10980491399538461,-0.06712393922862281,0.04095224019784075,0.8483980922648684,5.932245187448011,-0.6869876294126165,-0.667550839964633,1.5957446808510638,2.3978952727983707,-0.42804630309299085,0.25894132631962563,-0.0122063780411108,0
2022-10-14,138.3800048828125,140.4199981689453,144.52000427246094,134.3699951171875,424188400.0,283,56.6,85,5,8.0,5,AAPL,-0.0122063780411108,-0.08175177382160781,-0.10195335082382018,0.03978435318703174,0.8877906196767994,5.648974238161206,-1.1471414741575197,-0.24734042553191493,1.5017667844522968,2.1972245773362196,-1.4557657508568145,-0.3086242766992948,0.06424338109524541,1
2022-10-21,147.27000427246094,141.07000732421875,147.85000610351562,140.27000427246094,397216400.0,459,91.8,143,5,9.0,5,AAPL,0.06424338109524541,-0.02100637211444245,-0.09377878745626278,0.04123272984893559,0.8659223065194804,6.131226489483141,0.0624417865393156,0.6219081272084805,1.5577342047930283,2.302585092994046,-0.8118138861511902,-0.8742556726905059,0.057513417362526686,1
2022-10-28,155.74000549316406,147.19000244140625,157.5,144.1300048828125,512851100.0,1840,368.0,858,5,17.0,5,AAPL,0.057513417362526686,0.12691757548656724,-0.058119142761538956,0.04488534388042751,1.1588568839674014,7.518064181233078,2.3192422848893766,3.0087145969498907,2.3315217391304346,2.8903717578961645,2.565552848792132,0.2463105639027554,-0.11146783098780322,0
2022-11-04,138.3800048828125,153.16000366210938,155.4499969482422,134.3800048828125,510660400.0,558,111.6,182,5,10.0,5,AAPL,-0.11146783098780322,-0.0122063780411108,-0.19593259747138558,0.05200924854318118,1.1071730462785765,6.326149473155099,0.07227074678892653,-0.6967391304347825,1.6308243727598568,2.3978952727983707,-0.11641761919901443,-0.18868836598794098,0.08180366863706978,1
2022-11-11,149.6999969482422,137.11000061035156,150.00999450683594,134.58999633789062,461034600.0,363,72.6,94,5,11.0,5,AAPL,0.08180366863706978,0.08180366863706978,-0.1272155246075991,0.05930042935510378,0.9800059252960988,5.8971538676367405,-0.6287310859394099,-0.34946236559139787,1.2947658402203859,2.4849066497880004,0.3666334301354326,0.9953645160748424,0.010621218238503705,1
2022-11-18,151.2899932861328,148.97000122070312,153.58999633789062,146.14999389648438,382679700.0,268,53.6,81,5,9.0,5,AAPL,0.010621218238503705,0.0272967264008126,-0.07535754919332271,0.05838628596457597,0.8197823744723322,5.594711379601839,-1.1384475889675858,-0.26170798898071623,1.5111940298507462,2.302585092994046,-0.6455401771861277,0.49290741178145814,-0.021019187103584414,0
2022-11-25,148.11000061035156,150.16000366210938,151.8300018310547,146.92999267578125,204025500.0,939,234.75,417,4,6.0,4,AAPL,-0.021019187103584414,-0.04899193921723222,-0.04941914555480653,0.057100570179777405,0.5236793475770858,6.84587987526405,0.9419899250463607,2.503731343283582,1.7763578274760383,1.9459101490553132,-1.970631011816962,-2.912620936863323,-0.002025542168128558,0
